Nome do Produto,Preço,Link
"Monitor Gamer LG UltraGear 27"" FHD, IPS, 180Hz, 1ms GTG, HDR10, DisplayPort e HDMI, G-Sync, FreeSync, Preto - 27GS60F-B","R$ 1.099,99",https://www.kabum.com.br/produto/620992/monitor-gamer-lg-ultragear-27-fhd-ips-180hz-1ms-gtg-hdr10-displayport-e-hdmi-g-sync-freesync-preto-27gs60f-b
"Monitor Gamer Curvo Concórdia 27'', 100Hz, Led FULL HD, HDMI, VGA - Cz270f","R$ 799,00",https://www.kabum.com.br/produto/504136/monitor-gamer-curvo-concordia-27-100hz-led-full-hd-hdmi-vga-cz270f
"Monitor Gamer Curvo LG UltraGear LG 34"", UltraWide, 160Hz, WQHD, 1ms, DisplayPort e HDMI, AMD FreeSync Premium, HDR10, 99% sRGB - 34GP63A-B","R$ 2.099,99",https://www.kabum.com.br/produto/472908/monitor-gamer-curvo-lg-ultragear-lg-34-ultrawide-160hz-wqhd-1ms-displayport-e-hdmi-amd-freesync-premium-hdr10-99-srgb-34gp63a-b
"Monitor Gamer Curvo KBM! Gaming MG210 23.6"" FHD, 180Hz, 1ms, HDMI e DP, Adaptive Sync, Ajuste de Ângulo, Preto - KGMG21023PT","R$ 719,90",https://www.kabum.com.br/produto/471916/monitor-gamer-curvo-kbm-gaming-mg210-23-6-fhd-180hz-1ms-hdmi-e-dp-adaptive-sync-ajuste-de-angulo-preto-kgmg21023pt
"Monitor Gamer Concórdia 23,8 LED Full HD, 165Hz, 1ms, HDMI/DisplayPort, FreeSync, Preto e Prata - R200s","R$ 599,99",https://www.kabum.com.br/produto/365026/monitor-gamer-concordia-23-8-led-full-hd-165hz-1ms-hdmi-displayport-freesync-preto-e-prata-r200s
"Monitor Gamer LG 21,5"" Full HD, 75Hz, HDMI, FreeSync, VESA, Preto - 22MP410-B","R$ 529,99",https://www.kabum.com.br/produto/397845/monitor-gamer-lg-21-5-full-hd-75hz-hdmi-freesync-vesa-preto-22mp410-b
"Monitor Gamer LG 27"" Full HD, IPS, HDMI e VESA, FreeSync, Ajuste de Ângulo, Bordas Finas, Preto - 27MP400-B","R$ 649,99",https://www.kabum.com.br/produto/323895/monitor-gamer-lg-27-full-hd-ips-hdmi-e-vesa-freesync-ajuste-de-angulo-bordas-finas-preto-27mp400-b
"Monitor Gamer Husky Storm 27' LED, Curvo, 180Hz, Full HD, 1ms, DisplayPort e HDMI, 99% sRGB, Adaptive Sync, Ajuste de Ângulo - HGMT001","R$ 949,90",https://www.kabum.com.br/produto/115384/monitor-gamer-husky-storm-27-led-curvo-180hz-full-hd-1ms-displayport-e-hdmi-99-srgb-adaptive-sync-ajuste-de-angulo-hgmt001
"Monitor LG 19.5"" HD, 60Hz, 2Ms, VGA, HDMI, Ajuste De Inclinação, Reader Mode, Screen Split, Preto - 20MK400H-B","R$ 422,00",https://www.kabum.com.br/produto/119721/monitor-lg-19-5-hd-60hz-2ms-vga-hdmi-ajuste-de-inclinacao-reader-mode-screen-split-preto-20mk400h-b
"Monitor Gamer LG UltraGear 24"" FHD, IPS, 180Hz, 1ms GTG, HDR10, DisplayPort e HDMI, AMD FreeSync, NVIDIA G-SYNC, Preto - 24GS60F-B","R$ 959,99",https://www.kabum.com.br/produto/614879/monitor-gamer-lg-ultragear-24-fhd-ips-180hz-1ms-gtg-hdr10-displayport-e-hdmi-amd-freesync-nvidia-g-sync-preto-24gs60f-b
"Monitor Gamer Samsung T350 24"" FULL HD, Tela Plana, 75Hz, 5Ms, HDMI, FreeSync, Game Mode","R$ 550,15",https://www.kabum.com.br/produto/254367/monitor-gamer-samsung-t350-24-full-hd-tela-plana-75hz-5ms-hdmi-freesync-game-mode
"Monitor Gamer Samsung 24"" Full HD, 75Hz, IPS, HDMI FreeSync, Preto - LF24T350FHLMZD","R$ 699,99",https://www.kabum.com.br/produto/168368/monitor-gamer-samsung-24-full-hd-75hz-ips-hdmi-freesync-preto-lf24t350fhlmzd
"Monitor Gamer LG UltraGear, 24"", 100Hz, 5ms, HDMI, AMD Freesync, Preto - 24MS500-B","R$ 559,00",https://www.kabum.com.br/produto/644868/monitor-gamer-lg-ultragear-24-100hz-5ms-hdmi-amd-freesync-preto-24ms500-b
"Monitor Gamer Rise Mode 32"" Full HD Curvo, 165hz, IPS, Preto, HDMI e DisplayPort, sRGB 99%, Suporte Vesa - RM-MOG-32C165FH-B","R$ 999,00",https://www.kabum.com.br/produto/515044/monitor-gamer-rise-mode-32-full-hd-curvo-165hz-ips-preto-hdmi-e-displayport-srgb-99-suporte-vesa-rm-mog-32c165fh-b
"Monitor Gamer LG 26"" Full HD, Ultra Wide, 75Hz, 1ms, IPS, HDMI, FreeSync Premium, HDR 10, 99% sRGB, VESA, Preto - 26WQ500","R$ 729,00",https://www.kabum.com.br/produto/371253/monitor-gamer-lg-26-full-hd-ultra-wide-75hz-1ms-ips-hdmi-freesync-premium-hdr-10-99-srgb-vesa-preto-26wq500
"Monitor Gamer KBM! Gaming MG800 34"" QHD, Ultrawide, 180Hz, 1ms, HDMI e DP, Adaptive Sync, 95% SRGB, Preto - KGMG80034PT","R$ 1.769,90",https://www.kabum.com.br/produto/471913/monitor-gamer-kbm-gaming-mg800-34-qhd-ultrawide-180hz-1ms-hdmi-e-dp-adaptive-sync-95-srgb-preto-kgmg80034pt
"Monitor Curvo Samsung 27"" Full HD Lc27f390, HDMI, VGA, Freesync, Preto - Série Cf390","R$ 705,87",https://www.kabum.com.br/produto/157264/monitor-curvo-samsung-27-full-hd-lc27f390-hdmi-vga-freesync-preto-serie-cf390
"Monitor Gamer LG UltraGear 32"", 165Hz, QHD, 1ms, DisplayPort e HDMI, 95% sRGB, FreeSync Premium, HDR 10, VESA, Preto - 32GN600-B","R$ 1.399,99",https://www.kabum.com.br/produto/364835/monitor-gamer-lg-ultragear-32-165hz-qhd-1ms-displayport-e-hdmi-95-srgb-freesync-premium-hdr-10-vesa-preto-32gn600-b
"Monitor Gamer Aoc 21,5” Full Hd 100hz 1ms Widescreen Preto - 22b35hm2","R$ 512,10",https://www.kabum.com.br/produto/659646/monitor-gamer-aoc-21-5-full-hd-100hz-1ms-widescreen-preto-22b35hm2
"Monitor LG 19,5"" HD, 75Hz, HDMI, Ajuste de Ângulo, VESA, Preto - 20MK400H-B","R$ 469,99",https://www.kabum.com.br/produto/111939/monitor-lg-19-5-hd-75hz-hdmi-ajuste-de-angulo-vesa-preto-20mk400h-b
